reference_number;entry_date;amount;debit_account_code;credit_account_code;debit_account_name_src;credit_account_name_src;txn_description;classification_code;work_item_code;expenses_code;transaction_classification name;work_items  descrip;expenses_categories description
12-02;30/11/2022;468061.4916;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 6;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
13-01;30/12/2022;5591077.25;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم 7;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
14-01;30/12/2022;23964.53122;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 7;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
14-02;30/12/2022;23964.53122;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 7;8;1;94;قيد سداد الايراد;مصاريف ادارية;دمغة تطبيقية
14-03;30/12/2022;32045.65063;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 7;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
14-04;30/12/2022;96137.0134;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 7;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
14-05;30/12/2022;116612.9864;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 7;8;1;97;قيد سداد الايراد;مصاريف ادارية;تأمينات اجتماعية
14-06;30/12/2022;19169.50037;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 7;8;1;98;قيد سداد الايراد;مصاريف ادارية;عمالة غير منتظمة
14-07;30/12/2022;55910.7725;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 7;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
14-08;30/12/2022;53249.41973;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 7;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
14-09;30/12/2022;279553.8625;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 7;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
14-10;30/12/2022;13977.69313;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 7;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
14-11;30/12/2022;266135.2771;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 7;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
14-12;30/12/2022;559107.725;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 7;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
15-01;30/12/2022;3718446.638;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 7;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
15-02;30/12/2022;332801.6484;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 7;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
16-01;30/12/2022;4754467.25;;1210;;ذمم تجارية - العملاء;مستخلص رقم 8;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
16-02;30/12/2022;283365;;1340;;مواد لدى مواقع العملاء (تشوينات);مستخلص رقم 8;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
16-01;30/01/2023;5037832.25;4110;;إيرادات العقود الإنشائية الأساسية;;مستخلص رقم 8;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
17-01;30/01/2023;21589.50107;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 8;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
17-02;30/01/2023;21589.50107;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 8;8;1;94;قيد سداد الايراد;مصاريف ادارية;دمغة تطبيقية
17-03;30/01/2023;28887.35;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 8;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
17-04;30/01/2023;86662.0543;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 8;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
17-05;30/01/2023;16301.10936;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 8;8;1;98;قيد سداد الايراد;مصاريف ادارية;عمالة غير منتظمة
17-06;30/01/2023;47544.6725;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 8;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
17-07;30/01/2023;45280.64274;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 8;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
17-08;30/01/2023;237723.3625;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 8;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
17-09;30/01/2023;11886.16813;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 8;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
17-10;30/01/2023;226402.976;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 8;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
17-11;30/01/2023;503783.225;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 8;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
18-01;30/01/2023;3507177.69;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 8;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
18-02;30/01/2023;283004;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 8;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
19-01;31/01/2023;6716422;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم 9;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
19-02;31/01/2023;205801.875;4110;1340;إيرادات العقود الإنشائية الأساسية;مواد لدى مواقع العملاء (تشوينات);مستخلص رقم 9;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
20-01;28/02/2023;29665.01311;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 9;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
20-02;28/02/2023;29665.01311;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 9;8;1;94;قيد سداد الايراد;مصاريف ادارية;دمغة تطبيقية
20-03;28/02/2023;39692.60863;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 9;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
20-04;28/02/2023;119077.8318;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 9;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
20-05;28/02/2023;23027.84387;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 9;8;1;98;قيد سداد الايراد;مصاريف ادارية;عمالة غير منتظمة
20-06;28/02/2023;67164.22;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 9;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
20-07;28/02/2023;63967.20313;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 9;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
20-08;28/02/2023;335821.1;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 9;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
20-09;28/02/2023;16791.055;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 9;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
20-10;28/02/2023;319701.6872;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 9;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
20-11;28/02/2023;692222.3875;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 9;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
21-01;28/02/2023;4785639.91;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 9;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
21-02;28/02/2023;399788;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 9;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
22-01;30/03/2023;5641560.25;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم 10;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
22-02;30/03/2023;35420.625;4110;1340;إيرادات العقود الإنشائية الأساسية;مواد لدى مواقع العملاء (تشوينات);مستخلص رقم 10;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
23-01;30/03/2023;24328.55613;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 10;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
23-02;30/03/2023;24328.55613;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 10;8;1;94;قيد سداد الايراد;مصاريف ادارية;دمغة تطبيقية
23-03;30/03/2023;32552.28149;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 10;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
23-04;30/03/2023;97656.8493;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 10;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
23-05;30/03/2023;19342.58577;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 10;8;1;98;قيد سداد الايراد;مصاريف ادارية;عمالة غير منتظمة
23-06;30/03/2023;56415.6025;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 10;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
23-07;30/03/2023;53730.21982;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 10;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
23-08;30/03/2023;282078.0125;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 10;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
23-09;30/03/2023;14103.90063;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 10;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
23-10;30/03/2023;268538.2679;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 10;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
23-11;30/03/2023;567698.0875;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 10;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
24-01;30/03/2023;3900399.95;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 10;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
24-02;30/03/2023;335808;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 10;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
25-01;30/04/2023;2616927.5;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم 11;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
26-01;30/04/2023;11214.77577;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 11;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
26-02;30/04/2023;11214.77577;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 11;8;1;94;قيد سداد الايراد;مصاريف ادارية;دمغة تطبيقية
26-03;30/04/2023;15005.68039;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 11;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
26-04;30/04/2023;45017.04341;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 11;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
26-05;30/04/2023;8972.366223;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 11;8;1;98;قيد سداد الايراد;مصاريف ادارية;عمالة غير منتظمة
26-06;30/04/2023;26169.275;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 11;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
26-07;30/04/2023;24923.61751;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 11;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
26-08;30/04/2023;130846.375;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 11;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
26-09;30/04/2023;6542.31875;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 11;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
26-10;30/04/2023;124565.749;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 11;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
26-11;30/04/2023;261692.75;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 11;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
27-01;30/04/2023;1794992.78;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 11;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
27-02;30/04/2023;155770;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 11;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
