transaction_id,account_id,classification_id,project_id,analysis_work_item_id,sub_tree_id,debit_amount,credit_amount,description,notes,org_id
TXN00003-L20,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,30001.0,40000.0,419911.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00003-L21,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,,30000.0,0.0,5106334.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00004-L22,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,7.0,1.0,,30000.0,5767674.0,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00004-L23,b9d58bc5-9721-45a4-9477-244be212e724,7.0,1.0,,30000.0,0.0,5767674.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L24,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,93.0,24721.461975539998,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L25,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,94.0,24721.461975539998,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L26,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,95.0,33057.82726818,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L27,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,96.0,99173.545248954,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L28,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,97.0,120297.25,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L29,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,98.0,19774.88,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L30,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,99.0,57677.0,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L31,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,100.0,0.0,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L32,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,101.0,0.0,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L33,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,102.0,0.0,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L34,e0db9265-2422-4661-81bb-b6ddc31cdcb5,8.0,1.0,,30008.0,54930.2285,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L35,0e960703-a40e-4fcb-b19a-3564d2de7e75,8.0,1.0,,30009.0,288383.7,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L36,0e960703-a40e-4fcb-b19a-3564d2de7e75,8.0,1.0,,30010.0,14419.185,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L37,31a3d74c-c3c4-42ac-a4c9-528871c64052,8.0,1.0,,30007.0,274651.15,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L38,217dd6e7-5840-4d87-b8ae-bd7235acd42e,8.0,1.0,,30006.0,576767.4,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00005-L39,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,,30000.0,0.0,1588574.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00006-L40,e6aa6eb7-2d3a-4b27-a1a7-bbb5e04a9842,8.0,1.0,30000.0,40000.0,3835785.8282986037,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00006-L41,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,30001.0,40000.0,343313.34173318226,0.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00006-L42,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,,30000.0,0.0,4179100.0,مستخلص رقم 4,,d5789445-11e3-4ad6-9297-b56521675114
TXN00007-L43,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,7.0,1.0,,30000.0,3916055.5,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00007-L44,b9d58bc5-9721-45a4-9477-244be212e724,7.0,1.0,,30000.0,0.0,3916055.5,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L45,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,93.0,16785.036244655,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L46,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,94.0,16785.036244655,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L47,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,95.0,22445.146222135,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L48,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,96.0,67335.4817430155,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L49,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,97.0,81677.0,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L50,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,98.0,13426.0,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L51,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,99.0,39160.555,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L52,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,100.0,0.0,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L53,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,101.0,0.0,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L54,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,102.0,0.0,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L55,e0db9265-2422-4661-81bb-b6ddc31cdcb5,8.0,1.0,,30008.0,37295.7665,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L56,0e960703-a40e-4fcb-b19a-3564d2de7e75,8.0,1.0,,30009.0,195802.77500000002,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L57,0e960703-a40e-4fcb-b19a-3564d2de7e75,8.0,1.0,,30010.0,9790.13875,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L58,31a3d74c-c3c4-42ac-a4c9-528871c64052,8.0,1.0,,30007.0,186478.85,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L59,217dd6e7-5840-4d87-b8ae-bd7235acd42e,8.0,1.0,,30006.0,391605.55000000005,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00008-L60,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,,30000.0,0.0,1078587.3357044605,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00009-L61,e6aa6eb7-2d3a-4b27-a1a7-bbb5e04a9842,8.0,1.0,30000.0,40000.0,2604370.0210721865,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00009-L62,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,30001.0,40000.0,233098.1432233528,0.0,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00009-L63,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,,30000.0,0.0,2837468.1642955393,مستخلص رقم 5,,d5789445-11e3-4ad6-9297-b56521675114
TXN00010-L64,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,7.0,1.0,,30000.0,7863446.5,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00010-L65,b9d58bc5-9721-45a4-9477-244be212e724,7.0,1.0,,30000.0,0.0,7863446.5,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L66,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,93.0,33704.383022764996,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L67,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,94.0,33704.383022764996,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L68,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,95.0,45069.894056005,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L69,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,96.0,135209.7686659265,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L70,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,97.0,164009.0,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L71,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,98.0,26960.0,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L72,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,99.0,78634.465,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L73,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,100.0,0.0,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L74,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,101.0,0.0,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L75,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,102.0,0.0,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L76,e0db9265-2422-4661-81bb-b6ddc31cdcb5,8.0,1.0,,30008.0,74889.96650000001,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L77,0e960703-a40e-4fcb-b19a-3564d2de7e75,8.0,1.0,,30009.0,393172.325,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L78,0e960703-a40e-4fcb-b19a-3564d2de7e75,8.0,1.0,,30010.0,19658.61625,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L79,31a3d74c-c3c4-42ac-a4c9-528871c64052,8.0,1.0,,30007.0,374449.85,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L80,217dd6e7-5840-4d87-b8ae-bd7235acd42e,8.0,1.0,,30006.0,786344.65,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00011-L81,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,,30000.0,0.0,2165807.3015174614,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00012-L82,e6aa6eb7-2d3a-4b27-a1a7-bbb5e04a9842,8.0,1.0,30000.0,40000.0,5229577.706890764,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00012-L83,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,30001.0,40000.0,468061.49159177445,0.0,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00012-L84,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,,30000.0,0.0,5697639.198482539,مستخلص رقم 6,,d5789445-11e3-4ad6-9297-b56521675114
TXN00013-L85,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,7.0,1.0,,30000.0,5591077.25,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00013-L86,b9d58bc5-9721-45a4-9477-244be212e724,7.0,1.0,,30000.0,0.0,5591077.25,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L87,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,93.0,23964.531219722496,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L88,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,94.0,23964.531219722496,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L89,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,95.0,32045.6506337825,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L90,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,96.0,96137.01340319724,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L91,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,97.0,116612.986381705,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L92,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,98.0,19169.500366423003,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L93,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,99.0,55910.7725,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L94,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,100.0,0.0,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L95,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,101.0,0.0,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L96,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,102.0,0.0,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L97,e0db9265-2422-4661-81bb-b6ddc31cdcb5,8.0,1.0,,30008.0,53249.41972900001,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L98,0e960703-a40e-4fcb-b19a-3564d2de7e75,8.0,1.0,,30009.0,279553.8625,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L99,0e960703-a40e-4fcb-b19a-3564d2de7e75,8.0,1.0,,30010.0,13977.693125,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L100,31a3d74c-c3c4-42ac-a4c9-528871c64052,8.0,1.0,,30007.0,266135.2771,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L101,217dd6e7-5840-4d87-b8ae-bd7235acd42e,8.0,1.0,,30006.0,559107.725,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00014-L102,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,,30000.0,0.0,1539828.9631785527,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00015-L103,e6aa6eb7-2d3a-4b27-a1a7-bbb5e04a9842,8.0,1.0,30000.0,40000.0,3718446.638429761,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00015-L104,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,30001.0,40000.0,332801.64839168626,0.0,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00015-L105,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,,30000.0,0.0,4051248.2868214473,مستخلص رقم 7,,d5789445-11e3-4ad6-9297-b56521675114
TXN00016-L106,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,7.0,1.0,,30000.0,4754467.25,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00016-L107,3930be54-2a0c-42f8-a6b3-15eb14c9f0ba,7.0,1.0,,30000.0,283365.0,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00016-L108,b9d58bc5-9721-45a4-9477-244be212e724,7.0,1.0,,30000.0,0.0,5037832.25,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L109,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,93.0,21589.50107136245,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L110,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,94.0,21589.50107136245,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L111,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,95.0,28887.34999962887,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L112,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,96.0,86662.0543001878,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L113,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,30011.0,0.0,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L114,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,98.0,16301.109359743,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L115,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,99.0,47544.6725,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L116,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,100.0,0.0,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L117,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,101.0,0.0,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L118,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,102.0,0.0,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L119,e0db9265-2422-4661-81bb-b6ddc31cdcb5,8.0,1.0,,30008.0,45280.6427402225,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L120,0e960703-a40e-4fcb-b19a-3564d2de7e75,8.0,1.0,,30009.0,237723.36250000002,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L121,0e960703-a40e-4fcb-b19a-3564d2de7e75,8.0,1.0,,30010.0,11886.168125,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L122,31a3d74c-c3c4-42ac-a4c9-528871c64052,8.0,1.0,,30007.0,226402.97597774997,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L123,217dd6e7-5840-4d87-b8ae-bd7235acd42e,8.0,1.0,,30006.0,503783.22500000003,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00017-L124,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,,30000.0,0.0,1247650.5626452572,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00018-L125,e6aa6eb7-2d3a-4b27-a1a7-bbb5e04a9842,8.0,1.0,30000.0,40000.0,3507177.69,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00018-L126,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,30001.0,40000.0,283004.0,0.0,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00018-L127,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,,30000.0,0.0,3790181.69,مستخلص رقم 8,,d5789445-11e3-4ad6-9297-b56521675114
TXN00019-L128,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,7.0,1.0,,30000.0,6716422.0,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00019-L129,3930be54-2a0c-42f8-a6b3-15eb14c9f0ba,7.0,1.0,,30000.0,205801.875,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00019-L130,b9d58bc5-9721-45a4-9477-244be212e724,7.0,1.0,,30000.0,0.0,6922223.875,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00020-L131,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,93.0,29665.013114623503,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00020-L132,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,94.0,29665.013114623503,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00020-L133,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,95.0,39692.60863199885,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00020-L134,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,96.0,119077.83180619132,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00020-L135,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,30011.0,0.0,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00020-L136,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,98.0,23027.843872136,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00020-L137,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,99.0,67164.22,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00020-L138,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,100.0,0.0,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00020-L139,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,101.0,0.0,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00020-L140,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,102.0,0.0,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00020-L141,e0db9265-2422-4661-81bb-b6ddc31cdcb5,8.0,1.0,,30008.0,63967.20312800001,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00020-L142,0e960703-a40e-4fcb-b19a-3564d2de7e75,8.0,1.0,,30009.0,335821.10000000003,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00020-L143,0e960703-a40e-4fcb-b19a-3564d2de7e75,8.0,1.0,,30010.0,16791.055,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00020-L144,31a3d74c-c3c4-42ac-a4c9-528871c64052,8.0,1.0,,30007.0,319701.6872,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
TXN00020-L145,217dd6e7-5840-4d87-b8ae-bd7235acd42e,8.0,1.0,,30006.0,692222.3875000001,0.0,مستخلص رقم 9,,d5789445-11e3-4ad6-9297-b56521675114
