tx_key,entry_number,entry_date,description,notes,total_debits,total_credits,lines_total_count,description_ar,notes_ar,approval_status,status,approval_method,is_posted
1047|2022-08-09,1047,2022-08-09, 8يوميات عماله تسويه تحت العاديات تبع مقاول النجاره,nan,1350.0,1350.0,2, 8يوميات عماله تسويه تحت العاديات تبع مقاول النجاره,nan,approved,approved,line_based,True
1048|2022-08-10,1048,2022-08-10,اكراميه بمب صب مسلحه 30,nan,100.0,100.0,2,اكراميه بمب صب مسلحه 30,nan,approved,approved,line_based,True
1048|2022-11-21,1048,2022-11-21,من حساب سياره الموقع امير 1بتاريخ 16/11,nan,2500.0,2500.0,2,من حساب سياره الموقع امير 1بتاريخ 16/11,nan,approved,approved,line_based,True
1049|2022-08-10,1049,2022-08-10,دفعه من حساب سياره الموقع,nan,300.0,300.0,2,دفعه من حساب سياره الموقع,nan,approved,approved,line_based,True
104|2022-10-08,104,2022-10-08,سهره استشاري صب سقف 27.وعمود اول 24. + اكراميه البمب,nan,175.0,175.0,2,سهره استشاري صب سقف 27.وعمود اول 24. + اكراميه البمب,nan,approved,approved,line_based,True
104|2023-02-12,104,2023-02-12,رد سلفيات,nan,870200.0,870200.0,2,رد سلفيات,nan,approved,approved,line_based,True
1050|2022-08-10,1050,2022-08-10,بنزين للمولد,nan,150.0,150.0,2,بنزين للمولد,nan,approved,approved,line_based,True
1050|2022-11-21,1050,2022-11-21,دفعه من مستخلص الكهرباء هشام بتاريخ 16/11,nan,4000.0,4000.0,2,دفعه من مستخلص الكهرباء هشام بتاريخ 16/11,nan,approved,approved,line_based,True
1051|2022-08-10,1051,2022-08-10,بسكوت 2شكاره *45  عمدان 31,nan,90.0,90.0,2,بسكوت 2شكاره *45  عمدان 31,nan,approved,approved,line_based,True
1052|2022-08-10,1052,2022-08-10,حساب يوميات رش ماء معالجه وتخطيط العاديه ودكاك يدوي عمارات 40.41.44.26.28.32,nan,200.0,200.0,2,حساب يوميات رش ماء معالجه وتخطيط العاديه ودكاك يدوي عمارات 40.41.44.26.28.32,nan,approved,approved,line_based,True
1052|2022-11-21,1052,2022-11-21,دفعه من حساب شركه عز لتوريد الكهرباء بتاريخ 16/11,nan,10000.0,10000.0,2,دفعه من حساب شركه عز لتوريد الكهرباء بتاريخ 16/11,nan,approved,approved,line_based,True
1053|2022-08-10,1053,2022-08-10,تقارير تكسير مكعبات المسلحه 7 ايام لعماره 43,nan,200.0,200.0,2,تقارير تكسير مكعبات المسلحه 7 ايام لعماره 43,nan,approved,approved,line_based,True
1054|2022-08-10,1054,2022-08-10,حساب لودر عادل حتي يوم 9/8,nan,6025.0,6025.0,2,حساب لودر عادل حتي يوم 9/8,nan,approved,approved,line_based,True
1054|2022-11-21,1054,2022-11-21,ايجار شقه المهندسين عن شهر 12,nan,4500.0,4500.0,2,ايجار شقه المهندسين عن شهر 12,nan,approved,approved,line_based,True
1055|2022-08-10,1055,2022-08-10,ماء حلو للكرافان ,nan,40.0,40.0,2,ماء حلو للكرافان ,nan,approved,approved,line_based,True
1056|2022-08-10,1056,2022-08-10,ضيافه استشاري لصب عاديه 32,nan,50.0,50.0,2,ضيافه استشاري لصب عاديه 32,nan,approved,approved,line_based,True
1056|2022-11-21,1056,2022-11-21,بنزين للمولد,nan,150.0,150.0,2,بنزين للمولد,nan,approved,approved,line_based,True
1058|2022-08-10,1058,2022-08-10,اكراميه بمب صب عاديه 32,nan,100.0,100.0,2,اكراميه بمب صب عاديه 32,nan,approved,approved,line_based,True
1058|2022-11-21,1058,2022-11-21,طباعه لوحه ايه 0,nan,20.0,20.0,2,طباعه لوحه ايه 0,nan,approved,approved,line_based,True
1059|2022-08-11,1059,2022-08-11,تقارير اختبارات التحمل لعمارات 26.27.28.32.42,nan,15000.0,15000.0,2,تقارير اختبارات التحمل لعمارات 26.27.28.32.42,nan,approved,approved,line_based,True
105|2022-12-14,105,2022-12-14,سلفيه لحياه كريمه,nan,400000.0,400000.0,2,سلفيه لحياه كريمه,nan,approved,approved,line_based,True
1060|2022-08-11,1060,2022-08-11,2ك سكر ,nan,32.0,32.0,2,2ك سكر ,nan,approved,approved,line_based,True
1060|2022-11-21,1060,2022-11-21,دفعه من مستخلص العزل علي ,nan,1000.0,1000.0,2,دفعه من مستخلص العزل علي ,nan,approved,approved,line_based,True
1061|2022-08-11,1061,2022-08-11,طباعه دفتر زيارات للاستشاري,nan,80.0,80.0,2,طباعه دفتر زيارات للاستشاري,nan,approved,approved,line_based,True
1062|2022-08-11,1062,2022-08-11,حساب سياره الموقع حتي يوم 11/8,nan,3305.0,3305.0,2,حساب سياره الموقع حتي يوم 11/8,nan,approved,approved,line_based,True
1062|2022-11-21,1062,2022-11-21,دفعه من مستخلص حداده محمد رمضان,nan,1000.0,1000.0,2,دفعه من مستخلص حداده محمد رمضان,nan,approved,approved,line_based,True
1063|2022-08-11,1063,2022-08-11,حساب العامل مصطفي حتي يوم 10/8,nan,900.0,900.0,2,حساب العامل مصطفي حتي يوم 10/8,nan,approved,approved,line_based,True
1064|2022-08-11,1064,2022-08-11,دفعه من مستخلص محمد محمد شحاته ( ابو عمرو),nan,6000.0,6000.0,2,دفعه من مستخلص محمد محمد شحاته ( ابو عمرو),nan,approved,approved,line_based,True
1064|2022-11-21,1064,2022-11-21,دفعه من سركي محمد نصر الفرمجي,nan,200.0,200.0,2,دفعه من سركي محمد نصر الفرمجي,nan,approved,approved,line_based,True
1065|2022-08-11,1065,2022-08-11,شراء شعله وانبوبه غاز للغفير+ كلابش,nan,970.0,970.0,2,شراء شعله وانبوبه غاز للغفير+ كلابش,nan,approved,approved,line_based,True
1066|2022-08-11,1066,2022-08-11,حساب مياه الاحلال ,nan,2700.0,2700.0,2,حساب مياه الاحلال ,nan,approved,approved,line_based,True
1066|2022-11-21,1066,2022-11-21,اكراميه بمب صب سقف اول 26,nan,100.0,100.0,2,اكراميه بمب صب سقف اول 26,nan,approved,approved,line_based,True
1067|2022-08-11,1067,2022-08-11,حساب مياه العاديات,nan,600.0,600.0,2,حساب مياه العاديات,nan,approved,approved,line_based,True
1068|2022-08-11,1068,2022-08-11,حساب فرمجه مسلحه,nan,1950.0,1950.0,2,حساب فرمجه مسلحه,nan,approved,approved,line_based,True
1068|2022-11-21,1068,2022-11-21,اكراميه بمب صب سقف ثالث 43,nan,100.0,100.0,2,اكراميه بمب صب سقف ثالث 43,nan,approved,approved,line_based,True
1069|2022-08-11,1069,2022-08-11,حساب فرمجه عاديه,nan,1000.0,1000.0,2,حساب فرمجه عاديه,nan,approved,approved,line_based,True
106|2022-10-08,106,2022-10-08,بنزين ,nan,170.0,170.0,2,بنزين ,nan,approved,approved,line_based,True
106|2024-01-11,106,2024-01-11,رد سلفيه من حياه كريمه,nan,400000.0,400000.0,2,رد سلفيه من حياه كريمه,nan,approved,approved,line_based,True
1070|2022-08-11,1070,2022-08-11,اكراميه بمب صب اعمده 43,nan,100.0,100.0,2,اكراميه بمب صب اعمده 43,nan,approved,approved,line_based,True
1070|2022-11-21,1070,2022-11-21,اكراميه بمب صب عمود ثاني 37,nan,50.0,50.0,2,اكراميه بمب صب عمود ثاني 37,nan,approved,approved,line_based,True
1071|2022-08-11,1071,2022-08-11,دفعه من مستخلص النجاره (منتصر ),nan,3000.0,3000.0,2,دفعه من مستخلص النجاره (منتصر ),nan,approved,approved,line_based,True
1072|2022-08-11,1072,2022-08-11,دفعه من مستخلص النجاره (محمد صبري),nan,3000.0,3000.0,2,دفعه من مستخلص النجاره (محمد صبري),nan,approved,approved,line_based,True
1072|2022-11-21,1072,2022-11-21,اكراميه بمب صب اول 44,nan,50.0,50.0,2,اكراميه بمب صب اول 44,nan,approved,approved,line_based,True
1073|2022-08-11,1073,2022-08-11,دفعه من مستخلص النجاره (علي محمد),nan,2000.0,2000.0,2,دفعه من مستخلص النجاره (علي محمد),nan,approved,approved,line_based,True
1074|2022-08-11,1074,2022-08-11,دفعه من مستخلص النجاره (صبري عبد المعطي),nan,6000.0,6000.0,2,دفعه من مستخلص النجاره (صبري عبد المعطي),nan,approved,approved,line_based,True
1074|2022-11-21,1074,2022-11-21,سلفه للمهندس احمد توفيق من راتب شهر 11,nan,2000.0,2000.0,2,سلفه للمهندس احمد توفيق من راتب شهر 11,nan,approved,approved,line_based,True
1075|2022-08-11,1075,2022-08-11,دفعه من مستخلص النجاره (محمد جمال),nan,5000.0,5000.0,2,دفعه من مستخلص النجاره (محمد جمال),nan,approved,approved,line_based,True
1076|2022-08-11,1076,2022-08-11,دفعه من مستخلص النجاره (حماده بخيت),nan,3000.0,3000.0,2,دفعه من مستخلص النجاره (حماده بخيت),nan,approved,approved,line_based,True
1076|2022-11-21,1076,2022-11-21,انبوبه غاز للمهندسين,nan,90.0,90.0,2,انبوبه غاز للمهندسين,nan,approved,approved,line_based,True
1077|2022-08-11,1077,2022-08-11,دفعه من مستخلصحداده (عبد الرحمن),nan,10000.0,10000.0,2,دفعه من مستخلصحداده (عبد الرحمن),nan,approved,approved,line_based,True
1078|2022-08-11,1078,2022-08-11,دفعه من مستخلص الحفر (ياسين),nan,5000.0,5000.0,2,دفعه من مستخلص الحفر (ياسين),nan,approved,approved,line_based,True
1078|2022-11-21,1078,2022-11-21,جالون ماء للكرافان,nan,45.0,45.0,2,جالون ماء للكرافان,nan,approved,approved,line_based,True
1079|2022-08-11,1079,2022-08-11,دفعه من مستخلص الحلال (ياسين),nan,10000.0,10000.0,2,دفعه من مستخلص الحلال (ياسين),nan,approved,approved,line_based,True
107|2024-05-22,107,2024-05-22,سلفيه لحياه كريمه,nan,200000.0,200000.0,2,سلفيه لحياه كريمه,nan,approved,approved,line_based,True
1080|2022-08-11,1080,2022-08-11,دفعه من مستخلص الحداده (محمود),nan,8000.0,8000.0,2,دفعه من مستخلص الحداده (محمود),nan,approved,approved,line_based,True
1080|2022-11-21,1080,2022-11-21,2بطانيه للغفر,nan,190.0,190.0,2,2بطانيه للغفر,nan,approved,approved,line_based,True
1082|2022-08-11,1082,2022-08-11,باقي غفره العرب ( ابومالك),nan,2000.0,2000.0,2,باقي غفره العرب ( ابومالك),nan,approved,approved,line_based,True
1082|2022-11-21,1082,2022-11-21,سهر استشاري صب عمود 37 وتخصم علي محطه هيمكس بسبب عدم الصب ,nan,200.0,200.0,2,سهر استشاري صب عمود 37 وتخصم علي محطه هيمكس بسبب عدم الصب ,nan,approved,approved,line_based,True
1083|2022-08-11,1083,2022-08-11,اجر دكاك يدوي ادك التربه قبل عاديه 26,nan,150.0,150.0,2,اجر دكاك يدوي ادك التربه قبل عاديه 26,nan,approved,approved,line_based,True
1084|2022-08-11,1084,2022-08-11,ماده لتزريع الاشاير واجار هيلتي ( اشاير اعمده ارضي عماره 37),nan,430.0,430.0,2,ماده لتزريع الاشاير واجار هيلتي ( اشاير اعمده ارضي عماره 37),nan,approved,approved,line_based,True
1084|2022-11-21,1084,2022-11-21,حجر بورده لكمبيوتر المحاسب,nan,40.0,40.0,2,حجر بورده لكمبيوتر المحاسب,nan,approved,approved,line_based,True
1085|2022-08-13,1085,2022-08-13,بنزين للمولد,nan,100.0,100.0,2,بنزين للمولد,nan,approved,approved,line_based,True
1086|2022-08-13,1086,2022-08-13,19لتر ماء حلو للكرافان,nan,45.0,45.0,2,19لتر ماء حلو للكرافان,nan,approved,approved,line_based,True
1086|2022-11-21,1086,2022-11-21,دفعه من مستخلص حداده محمد رمضان,nan,1000.0,1000.0,2,دفعه من مستخلص حداده محمد رمضان,nan,approved,approved,line_based,True
1087|2022-08-14,1087,2022-08-14, 19لتر ماء للكرافان,nan,35.0,35.0,2, 19لتر ماء للكرافان,nan,approved,approved,line_based,True
1088|2022-08-14,1088,2022-08-14,2ك سكر ,nan,30.0,30.0,2,2ك سكر ,nan,approved,approved,line_based,True
1088|2022-11-21,1088,2022-11-21,سهره استشاري استلام سقف اول 25,nan,200.0,200.0,2,سهره استشاري استلام سقف اول 25,nan,approved,approved,line_based,True
1089|2022-08-14,1089,2022-08-14,كلابش لانبوبه الغفير,nan,50.0,50.0,2,كلابش لانبوبه الغفير,nan,approved,approved,line_based,True
108|2022-10-08,108,2022-10-08,حساب العامل محمود,nan,800.0,800.0,2,حساب العامل محمود,nan,approved,approved,line_based,True
108|2024-05-27,108,2024-05-27,رد سلفيه من حياه كريمه,nan,200000.0,200000.0,2,رد سلفيه من حياه كريمه,nan,approved,approved,line_based,True
1090|2022-08-14,1090,2022-08-14,انبوبه غاز للمهندس طارق,nan,100.0,100.0,2,انبوبه غاز للمهندس طارق,nan,approved,approved,line_based,True
1090|2022-11-21,1090,2022-11-21,سلفه من راتب فتحي الغفير من شهر 11,nan,200.0,200.0,2,سلفه من راتب فتحي الغفير من شهر 11,nan,approved,approved,line_based,True
1091|2022-08-14,1091,2022-08-14,من حساب سياره الموقع ( امير),nan,200.0,200.0,2,من حساب سياره الموقع ( امير),nan,approved,approved,line_based,True
1092|2022-08-14,1092,2022-08-14,من حساب العامل مصطفي ( ابورهف),nan,100.0,100.0,2,من حساب العامل مصطفي ( ابورهف),nan,approved,approved,line_based,True
1092|2022-11-21,1092,2022-11-21,من ح/ سياره  الموقع ,nan,2200.0,2200.0,2,من ح/ سياره  الموقع ,nan,approved,approved,line_based,True
1093|2022-08-15,1093,2022-08-15,سكر +ماء حلو للكرافان,nan,46.0,46.0,2,سكر +ماء حلو للكرافان,nan,approved,approved,line_based,True
1094|2022-08-15,1094,2022-08-15,زيت للمولد,nan,75.0,75.0,2,زيت للمولد,nan,approved,approved,line_based,True
1094|2022-11-21,1094,2022-11-21,شراء كربون لكتابه المهندسين عليه طلبات الاستلامات من الاستشاري,nan,25.0,25.0,2,شراء كربون لكتابه المهندسين عليه طلبات الاستلامات من الاستشاري,nan,approved,approved,line_based,True
1095|2022-08-15,1095,2022-08-15,دفعه من مستخلص النجاره ( حماده ),nan,5000.0,5000.0,2,دفعه من مستخلص النجاره ( حماده ),nan,approved,approved,line_based,True
1096|2022-08-15,1096,2022-08-15,ضيافه استشاري ,nan,33.0,33.0,2,ضيافه استشاري ,nan,approved,approved,line_based,True
1096|2022-11-21,1096,2022-11-21,سلفه للمهندس احمد توفيق من راتب شهر 11,nan,150.0,150.0,2,سلفه للمهندس احمد توفيق من راتب شهر 11,nan,approved,approved,line_based,True
1097|2022-08-15,1097,2022-08-15,شراء ينسون وكركديه ونسكافيه,nan,90.0,90.0,2,شراء ينسون وكركديه ونسكافيه,nan,approved,approved,line_based,True
