tx_key,line_no,account_code,debit_amount,credit_amount,description,source_old_code,source_old_name
1009|2022-08-04,2,12101,0.0,2000.0,دفعه من مستخلص النجاره (محمد صبري  ),131,الخزينة .
100|2022-10-08,1,12101,0.0,36690.0,من حساب رواتب شهر 9,131,الخزينة .
100|2022-10-08,2,5100,36690.0,0.0,من حساب رواتب شهر 9,31,التكاليف .
100|2023-01-19,1,12103,95000.0,0.0,سلفيات,132,البنوك .
100|2023-01-19,2,12304,0.0,95000.0,سلفيات,1352,السلفيات
1010|2022-08-04,1,12101,0.0,2000.0,دفعه من مستخلص النجاره (حماده بخيت  ),131,الخزينة .
1010|2022-08-04,2,22103,2000.0,0.0,دفعه من مستخلص النجاره (حماده بخيت  ),232,المقاولون .
1010|2022-11-17,1,12101,0.0,2000.0,دفعه من حساب محمد نصر الفرمجي,131,الخزينة .
1010|2022-11-17,2,22103,2000.0,0.0,دفعه من حساب محمد نصر الفرمجي,232,المقاولون .
10112|2022-11-17,1,12101,0.0,2300.0,شراء خزان  3 م 3 للموقع + م نقل الخزان الي الموقع ,131,الخزينة .
1011|2022-08-04,1,12101,0.0,8000.0,دفعه من مستخلص النجاره (محمد جمال  ),131,الخزينة .
1011|2022-08-04,2,22103,8000.0,0.0,دفعه من مستخلص النجاره (محمد جمال  ),232,المقاولون .
1012|2022-08-04,1,22103,1300.0,0.0,حساب الفرمجي ( محمد ),232,المقاولون .
1012|2022-08-04,2,12101,0.0,1300.0,حساب الفرمجي ( محمد ),131,الخزينة .
1012|2022-11-17,1,11107,2300.0,0.0,شراء خزان  3 م 3 للموقع + م نقل الخزان الي الموقع ,117,العدد والادوات
1013|2022-08-04,1,12101,0.0,1800.0,حساب مياه المعالجه ( مصطفي),131,الخزينة .
1013|2022-08-04,2,22103,1800.0,0.0,حساب مياه المعالجه ( مصطفي),232,المقاولون .
1014|2022-11-17,1,5100,90.0,0.0,بنزين للمولد  في السهره,31,التكاليف .
1014|2022-11-17,2,12101,0.0,90.0,بنزين للمولد  في السهره,131,الخزينة .
1016|2022-08-04,1,22104,12690.0,0.0,دفعه من حساب الرمال النظيفه المورده من الخارج ( ياسين ),234,الموردين .
1016|2022-08-04,2,12101,0.0,12690.0,دفعه من حساب الرمال النظيفه المورده من الخارج ( ياسين ),131,الخزينة .
1016|2022-11-17,1,12101,0.0,750.0,من حساب سياره امير 2,131,الخزينة .
1016|2022-11-17,2,22103,750.0,0.0,من حساب سياره امير 2,232,المقاولون .
1017|2022-08-04,1,12101,0.0,1400.0,حساب الهراس ( ياسين),131,الخزينة .
1017|2022-08-04,2,22103,1400.0,0.0,حساب الهراس ( ياسين),232,المقاولون .
1018|2022-08-04,1,22103,15910.0,0.0,حساب لودر ياسين,232,المقاولون .
1018|2022-08-04,2,12101,0.0,15910.0,حساب لودر ياسين,131,الخزينة .
1018|2022-11-19,1,5100,150.0,0.0,بنزين للمولد ,31,التكاليف .
1018|2022-11-19,2,12101,0.0,150.0,بنزين للمولد ,131,الخزينة .
1019|2022-08-04,1,22103,5000.0,0.0,دفعه من مستخلص الحداده  ( محمود),232,المقاولون .
1019|2022-08-04,2,12101,0.0,5000.0,دفعه من مستخلص الحداده  ( محمود),131,الخزينة .
101|2023-01-29,1,12103,266200.0,0.0,سلفيات,132,البنوك .
101|2023-01-29,2,12304,0.0,266200.0,سلفيات,1352,السلفيات
1020|2022-08-04,1,5100,3000.0,0.0,دفعه من حساب لودر عادل الجمل,31,التكاليف .
1020|2022-08-04,2,12101,0.0,3000.0,دفعه من حساب لودر عادل الجمل,131,الخزينة .
1020|2022-11-19,1,5100,45.0,0.0,ماء للكرافان,31,التكاليف .
1020|2022-11-19,2,12101,0.0,45.0,ماء للكرافان,131,الخزينة .
1021|2022-08-06,1,5100,200.0,0.0,سهره استشاري تسليم عاديه عماره 27. عماره 24 مسلحه,31,التكاليف .
1021|2022-08-06,2,12101,0.0,200.0,سهره استشاري تسليم عاديه عماره 27. عماره 24 مسلحه,131,الخزينة .
1022|2022-08-06,1,5100,200.0,0.0,سهره استشاري صب عاديه 27,31,التكاليف .
1022|2022-08-06,2,12101,0.0,200.0,سهره استشاري صب عاديه 27,131,الخزينة .
1022|2022-11-19,1,12101,0.0,100.0,اكراميه بمب صب سقف اول 43,131,الخزينة .
1022|2022-11-19,2,5100,100.0,0.0,اكراميه بمب صب سقف اول 43,31,التكاليف .
1023|2022-08-07,1,5100,175.0,0.0,بنزين للمولد ,31,التكاليف .
1023|2022-08-07,2,12101,0.0,175.0,بنزين للمولد ,131,الخزينة .
1024|2022-08-07,1,12101,0.0,48.0,ماء حلو للكرافان + فيشه ودوايه,131,الخزينة .
1024|2022-08-07,2,5100,48.0,0.0,ماء حلو للكرافان + فيشه ودوايه,31,التكاليف .
1024|2022-11-19,1,5100,50.0,0.0,اكراميه بمب صب عمود اول 29,31,التكاليف .
1024|2022-11-19,2,12101,0.0,50.0,اكراميه بمب صب عمود اول 29,131,الخزينة .
1025|2022-08-07,1,5100,90.0,0.0,4شكاره جير لتخطيط عمارات 40.41.44.,31,التكاليف .
1025|2022-08-07,2,12101,0.0,90.0,4شكاره جير لتخطيط عمارات 40.41.44.,131,الخزينة .
1026|2022-08-07,1,12101,0.0,1600.0,حساب لودر   ( ابو مالك) ,131,الخزينة .
1026|2022-08-07,2,22103,1600.0,0.0,حساب لودر   ( ابو مالك) ,232,المقاولون .
1026|2022-11-19,1,5100,50.0,0.0,اكراميه بمب صب عمود ثاني 24,31,التكاليف .
1026|2022-11-19,2,12101,0.0,50.0,اكراميه بمب صب عمود ثاني 24,131,الخزينة .
1028|2022-08-07,1,22103,700.0,0.0,حساب هراس  ( ابو مالك) ,232,المقاولون .
1028|2022-08-07,2,12101,0.0,700.0,حساب هراس  ( ابو مالك) ,131,الخزينة .
1028|2022-11-19,1,5100,200.0,0.0,سهره استشاري استلام اعمده ثاني 37,31,التكاليف .
1028|2022-11-19,2,12101,0.0,200.0,سهره استشاري استلام اعمده ثاني 37,131,الخزينة .
1029|2022-08-07,1,12101,0.0,5000.0,غفره العرب عن شهر 7 ( ابومالك ),131,الخزينة .
1029|2022-08-07,2,5100,5000.0,0.0,غفره العرب عن شهر 7 ( ابومالك ),31,التكاليف .
102|2022-10-08,1,12101,0.0,175.0,سهره استشاري صب سقف 27.وعمود اول 24. + اكراميه البمب,131,الخزينة .
102|2022-10-08,2,5100,175.0,0.0,سهره استشاري صب سقف 27.وعمود اول 24. + اكراميه البمب,31,التكاليف .
102|2023-02-08,1,12304,0.0,317000.0,سلفيات,1352,السلفيات
102|2023-02-08,2,12103,317000.0,0.0,سلفيات,132,البنوك .
1030|2022-08-07,1,12101,0.0,400.0,حساب فني طابعات لتعريف الطابعه علي اللاب مرتين ,131,الخزينة .
1030|2022-08-07,2,5100,400.0,0.0,حساب فني طابعات لتعريف الطابعه علي اللاب مرتين ,31,التكاليف .
1030|2022-11-19,1,5100,200.0,0.0,سهره استشاري صب اعمده ثاني 24,31,التكاليف .
1030|2022-11-19,2,12101,0.0,200.0,سهره استشاري صب اعمده ثاني 24,131,الخزينة .
1031|2022-08-07,1,22103,2270.0,0.0,باقي حساب لودر عادل ,232,المقاولون .
1031|2022-08-07,2,12101,0.0,2270.0,باقي حساب لودر عادل ,131,الخزينة .
1032|2022-08-07,1,5100,33.0,0.0,ماء للكرافان يوم 6/8,31,التكاليف .
1032|2022-08-07,2,12101,0.0,33.0,ماء للكرافان يوم 6/8,131,الخزينة .
1032|2022-11-20,1,12101,0.0,85.0,شداد 160 للمولد ,131,الخزينة .
1032|2022-11-20,2,5100,85.0,0.0,شداد 160 للمولد ,31,التكاليف .
1033|2022-08-07,1,5100,100.0,0.0,اكراميه بمب صب عاديه 27,31,التكاليف .
1033|2022-08-07,2,12101,0.0,100.0,اكراميه بمب صب عاديه 27,131,الخزينة .
1034|2022-08-07,1,5100,20.0,0.0,ماء للاستشاري  صب 27,31,التكاليف .
1034|2022-08-07,2,12101,0.0,20.0,ماء للاستشاري  صب 27,131,الخزينة .
1034|2022-11-20,1,5100,325.0,0.0, 1ك كيما بوكس131 لمعالجه حديد سقف اول 43 ,31,التكاليف .
1034|2022-11-20,2,12101,0.0,325.0, 1ك كيما بوكس131 لمعالجه حديد سقف اول 43 ,131,الخزينة .
1035|2022-08-08,1,12101,0.0,700.0,اجر يوميات نجاره كمر تشوين الحديد,131,الخزينة .
1035|2022-08-08,2,5100,700.0,0.0,اجر يوميات نجاره كمر تشوين الحديد,31,التكاليف .
1036|2022-08-08,1,5100,200.0,0.0,وجبه المهندسين في سهرات الصب يومان,31,التكاليف .
1036|2022-08-08,2,12101,0.0,200.0,وجبه المهندسين في سهرات الصب يومان,131,الخزينة .
1036|2022-11-20,1,5100,250.0,0.0,مطرقه +اجنه +2 مكنسه ,31,التكاليف .
1036|2022-11-20,2,12101,0.0,250.0,مطرقه +اجنه +2 مكنسه ,131,الخزينة .
1037|2022-08-08,1,5100,200.0,0.0,اكراميه معمل التربه,31,التكاليف .
1037|2022-08-08,2,12101,0.0,200.0,اكراميه معمل التربه,131,الخزينة .
1038|2022-08-08,1,5100,200.0,0.0,اكراميه سواق الخشب وتخصم علي المقاولين,31,التكاليف .
1038|2022-08-08,2,12101,0.0,200.0,اكراميه سواق الخشب وتخصم علي المقاولين,131,الخزينة .
1038|2022-11-20,1,12101,0.0,1000.0,باقي حساب شركه الطيب للبسكوت,131,الخزينة .
1038|2022-11-20,2,22104,1000.0,0.0,باقي حساب شركه الطيب للبسكوت,234,الموردين .
1039|2022-08-08,1,5100,200.0,0.0,اجر كلارك تنزيل الخشب تخصم علي المقاولين,31,التكاليف .
1039|2022-08-08,2,12101,0.0,200.0,اجر كلارك تنزيل الخشب تخصم علي المقاولين,131,الخزينة .
103|2022-12-25,1,12304,60000.0,0.0,رد سلفيات,1352,السلفيات
103|2022-12-25,2,12103,0.0,60000.0,رد سلفيات,132,البنوك .
1040|2022-08-08,1,5100,200.0,0.0,سهره استشاري صب مسلحه 31,31,التكاليف .
1040|2022-08-08,2,12101,0.0,200.0,سهره استشاري صب مسلحه 31,131,الخزينة .
1040|2022-11-20,1,5100,65.0,0.0,ك زيت للمولد ,31,التكاليف .
1040|2022-11-20,2,12101,0.0,65.0,ك زيت للمولد ,131,الخزينة .
1041|2022-08-08,1,12101,0.0,6000.0,اجر سياره الاستشاري عن شهر 7,131,الخزينة .
1041|2022-08-08,2,5100,6000.0,0.0,اجر سياره الاستشاري عن شهر 7,31,التكاليف .
1042|2022-08-08,1,5100,250.0,0.0,ايجار دكاك يدوي عمارات 32.26 + النقل,31,التكاليف .
1042|2022-08-08,2,12101,0.0,250.0,ايجار دكاك يدوي عمارات 32.26 + النقل,131,الخزينة .
1042|2022-11-20,1,5100,50.0,0.0,وجبه مهندس في صب عمود ثاني 24,31,التكاليف .
1042|2022-11-20,2,12101,0.0,50.0,وجبه مهندس في صب عمود ثاني 24,131,الخزينة .
1043|2022-08-09,1,12101,0.0,100.0,اكراميه بمب صب مسلحه 24.31.,131,الخزينة .
1043|2022-08-09,2,5100,100.0,0.0,اكراميه بمب صب مسلحه 24.31.,31,التكاليف .
1044|2022-08-09,1,12101,0.0,600.0,دفعه من حساب العامل مصطفي ,131,الخزينة .
1044|2022-08-09,2,22103,600.0,0.0,دفعه من حساب العامل مصطفي ,232,المقاولون .
1044|2022-11-20,1,12101,0.0,3000.0,دفعه من مستخلص محاره محمد عبد الجواد ( محاره),131,الخزينة .
1044|2022-11-20,2,22103,3000.0,0.0,دفعه من مستخلص محاره محمد عبد الجواد ( محاره),232,المقاولون .
1045|2022-08-09,1,12101,0.0,82.0,ماء للكرافان +حافظه ملفات +ختامه,131,الخزينة .
1045|2022-08-09,2,5100,82.0,0.0,ماء للكرافان +حافظه ملفات +ختامه,31,التكاليف .
1046|2022-08-09,1,12101,0.0,4500.0,ايجار شقه المهندس طارق عن شهر 8,131,الخزينة .
1046|2022-08-09,2,5100,4500.0,0.0,ايجار شقه المهندس طارق عن شهر 8,31,التكاليف .
1046|2022-11-21,1,12101,0.0,3000.0,دفعه من مستخلص نجاره علي خليل  بتاريخ 17/11  ,131,الخزينة .
1046|2022-11-21,2,22103,3000.0,0.0,دفعه من مستخلص نجاره علي خليل  بتاريخ 17/11  ,232,المقاولون .
1047|2022-08-09,1,12101,0.0,1350.0, 8يوميات عماله تسويه تحت العاديات تبع مقاول النجاره,131,الخزينة .
1047|2022-08-09,2,5100,1350.0,0.0, 8يوميات عماله تسويه تحت العاديات تبع مقاول النجاره,31,التكاليف .
1048|2022-08-10,1,5100,100.0,0.0,اكراميه بمب صب مسلحه 30,31,التكاليف .
1048|2022-08-10,2,12101,0.0,100.0,اكراميه بمب صب مسلحه 30,131,الخزينة .
1048|2022-11-21,1,12101,0.0,2500.0,من حساب سياره الموقع امير 1بتاريخ 16/11,131,الخزينة .
1048|2022-11-21,2,22103,2500.0,0.0,من حساب سياره الموقع امير 1بتاريخ 16/11,232,المقاولون .
1049|2022-08-10,1,12101,0.0,300.0,دفعه من حساب سياره الموقع,131,الخزينة .
1049|2022-08-10,2,22103,300.0,0.0,دفعه من حساب سياره الموقع,232,المقاولون .
104|2022-10-08,1,12101,0.0,175.0,سهره استشاري صب سقف 27.وعمود اول 24. + اكراميه البمب,131,الخزينة .
104|2022-10-08,2,5100,175.0,0.0,سهره استشاري صب سقف 27.وعمود اول 24. + اكراميه البمب,31,التكاليف .
104|2023-02-12,1,12103,0.0,870200.0,رد سلفيات,132,البنوك .
104|2023-02-12,2,12304,870200.0,0.0,رد سلفيات,1352,السلفيات
1050|2022-08-10,1,12101,0.0,150.0,بنزين للمولد,131,الخزينة .
1050|2022-08-10,2,5100,150.0,0.0,بنزين للمولد,31,التكاليف .
1050|2022-11-21,1,22103,4000.0,0.0,دفعه من مستخلص الكهرباء هشام بتاريخ 16/11,232,المقاولون .
1050|2022-11-21,2,12101,0.0,4000.0,دفعه من مستخلص الكهرباء هشام بتاريخ 16/11,131,الخزينة .
1051|2022-08-10,1,5100,90.0,0.0,بسكوت 2شكاره *45  عمدان 31,31,التكاليف .
1051|2022-08-10,2,12101,0.0,90.0,بسكوت 2شكاره *45  عمدان 31,131,الخزينة .
1052|2022-08-10,1,5100,200.0,0.0,حساب يوميات رش ماء معالجه وتخطيط العاديه ودكاك يدوي عمارات 40.41.44.26.28.32,31,التكاليف .
1052|2022-08-10,2,12101,0.0,200.0,حساب يوميات رش ماء معالجه وتخطيط العاديه ودكاك يدوي عمارات 40.41.44.26.28.32,131,الخزينة .
1052|2022-11-21,1,12101,0.0,10000.0,دفعه من حساب شركه عز لتوريد الكهرباء بتاريخ 16/11,131,الخزينة .
1052|2022-11-21,2,22104,10000.0,0.0,دفعه من حساب شركه عز لتوريد الكهرباء بتاريخ 16/11,234,الموردين .
1053|2022-08-10,1,12101,0.0,200.0,تقارير تكسير مكعبات المسلحه 7 ايام لعماره 43,131,الخزينة .
1053|2022-08-10,2,5100,200.0,0.0,تقارير تكسير مكعبات المسلحه 7 ايام لعماره 43,31,التكاليف .
1054|2022-08-10,1,22103,6025.0,0.0,حساب لودر عادل حتي يوم 9/8,232,المقاولون .
1054|2022-08-10,2,12101,0.0,6025.0,حساب لودر عادل حتي يوم 9/8,131,الخزينة .
1054|2022-11-21,1,5100,4500.0,0.0,ايجار شقه المهندسين عن شهر 12,31,التكاليف .
1054|2022-11-21,2,12101,0.0,4500.0,ايجار شقه المهندسين عن شهر 12,131,الخزينة .
1055|2022-08-10,1,12101,0.0,40.0,ماء حلو للكرافان ,131,الخزينة .
1055|2022-08-10,2,5100,40.0,0.0,ماء حلو للكرافان ,31,التكاليف .
1056|2022-08-10,1,5100,50.0,0.0,ضيافه استشاري لصب عاديه 32,31,التكاليف .
1056|2022-08-10,2,12101,0.0,50.0,ضيافه استشاري لصب عاديه 32,131,الخزينة .
1056|2022-11-21,1,12101,0.0,150.0,بنزين للمولد,131,الخزينة .
1056|2022-11-21,2,5100,150.0,0.0,بنزين للمولد,31,التكاليف .
1058|2022-08-10,1,5100,100.0,0.0,اكراميه بمب صب عاديه 32,31,التكاليف .
1058|2022-08-10,2,12101,0.0,100.0,اكراميه بمب صب عاديه 32,131,الخزينة .
1058|2022-11-21,1,5100,20.0,0.0,طباعه لوحه ايه 0,31,التكاليف .
1058|2022-11-21,2,12101,0.0,20.0,طباعه لوحه ايه 0,131,الخزينة .
1059|2022-08-11,1,12101,0.0,15000.0,تقارير اختبارات التحمل لعمارات 26.27.28.32.42,131,الخزينة .
1059|2022-08-11,2,22103,15000.0,0.0,تقارير اختبارات التحمل لعمارات 26.27.28.32.42,232,المقاولون .
105|2022-12-14,1,12304,400000.0,0.0,سلفيه لحياه كريمه,1352,السلفيات
105|2022-12-14,2,12103,0.0,400000.0,سلفيه لحياه كريمه,132,البنوك .
1060|2022-08-11,1,12101,0.0,32.0,2ك سكر ,131,الخزينة .
1060|2022-08-11,2,5100,32.0,0.0,2ك سكر ,31,التكاليف .
1060|2022-11-21,1,22103,1000.0,0.0,دفعه من مستخلص العزل علي ,232,المقاولون .
1060|2022-11-21,2,12101,0.0,1000.0,دفعه من مستخلص العزل علي ,131,الخزينة .
1061|2022-08-11,1,5100,80.0,0.0,طباعه دفتر زيارات للاستشاري,31,التكاليف .
1061|2022-08-11,2,12101,0.0,80.0,طباعه دفتر زيارات للاستشاري,131,الخزينة .
1062|2022-08-11,1,22103,3305.0,0.0,حساب سياره الموقع حتي يوم 11/8,232,المقاولون .
1062|2022-08-11,2,12101,0.0,3305.0,حساب سياره الموقع حتي يوم 11/8,131,الخزينة .
1062|2022-11-21,1,22103,1000.0,0.0,دفعه من مستخلص حداده محمد رمضان,232,المقاولون .
1062|2022-11-21,2,12101,0.0,1000.0,دفعه من مستخلص حداده محمد رمضان,131,الخزينة .
1063|2022-08-11,1,22103,900.0,0.0,حساب العامل مصطفي حتي يوم 10/8,232,المقاولون .
1063|2022-08-11,2,12101,0.0,900.0,حساب العامل مصطفي حتي يوم 10/8,131,الخزينة .
1064|2022-08-11,1,22103,6000.0,0.0,دفعه من مستخلص محمد محمد شحاته ( ابو عمرو),232,المقاولون .
1064|2022-08-11,2,12101,0.0,6000.0,دفعه من مستخلص محمد محمد شحاته ( ابو عمرو),131,الخزينة .
1064|2022-11-21,1,22103,200.0,0.0,دفعه من سركي محمد نصر الفرمجي,232,المقاولون .
1064|2022-11-21,2,12101,0.0,200.0,دفعه من سركي محمد نصر الفرمجي,131,الخزينة .
1065|2022-08-11,1,12101,0.0,970.0,شراء شعله وانبوبه غاز للغفير+ كلابش,131,الخزينة .
1065|2022-08-11,2,11106,970.0,0.0,شراء شعله وانبوبه غاز للغفير+ كلابش,116,الاثاث والمهمات
1066|2022-08-11,1,12101,0.0,2700.0,حساب مياه الاحلال ,131,الخزينة .
1066|2022-08-11,2,22103,2700.0,0.0,حساب مياه الاحلال ,232,المقاولون .
1066|2022-11-21,1,12101,0.0,100.0,اكراميه بمب صب سقف اول 26,131,الخزينة .
1066|2022-11-21,2,5100,100.0,0.0,اكراميه بمب صب سقف اول 26,31,التكاليف .
1067|2022-08-11,1,22103,600.0,0.0,حساب مياه العاديات,232,المقاولون .
1067|2022-08-11,2,12101,0.0,600.0,حساب مياه العاديات,131,الخزينة .
1068|2022-08-11,1,22103,1950.0,0.0,حساب فرمجه مسلحه,232,المقاولون .
1068|2022-08-11,2,12101,0.0,1950.0,حساب فرمجه مسلحه,131,الخزينة .
1068|2022-11-21,1,12101,0.0,100.0,اكراميه بمب صب سقف ثالث 43,131,الخزينة .
1068|2022-11-21,2,5100,100.0,0.0,اكراميه بمب صب سقف ثالث 43,31,التكاليف .
1069|2022-08-11,1,12101,0.0,1000.0,حساب فرمجه عاديه,131,الخزينة .
1069|2022-08-11,2,22103,1000.0,0.0,حساب فرمجه عاديه,232,المقاولون .
106|2022-10-08,1,5100,170.0,0.0,بنزين ,31,التكاليف .
106|2022-10-08,2,12101,0.0,170.0,بنزين ,131,الخزينة .
106|2024-01-11,1,12103,400000.0,0.0,رد سلفيه من حياه كريمه,132,البنوك .
106|2024-01-11,2,12304,0.0,400000.0,رد سلفيه من حياه كريمه,1352,السلفيات
1070|2022-08-11,1,5100,100.0,0.0,اكراميه بمب صب اعمده 43,31,التكاليف .
1070|2022-08-11,2,12101,0.0,100.0,اكراميه بمب صب اعمده 43,131,الخزينة .
1070|2022-11-21,1,5100,50.0,0.0,اكراميه بمب صب عمود ثاني 37,31,التكاليف .
1070|2022-11-21,2,12101,0.0,50.0,اكراميه بمب صب عمود ثاني 37,131,الخزينة .
1071|2022-08-11,1,22103,3000.0,0.0,دفعه من مستخلص النجاره (منتصر ),232,المقاولون .
1071|2022-08-11,2,12101,0.0,3000.0,دفعه من مستخلص النجاره (منتصر ),131,الخزينة .
1072|2022-08-11,1,22103,3000.0,0.0,دفعه من مستخلص النجاره (محمد صبري),232,المقاولون .
1072|2022-08-11,2,12101,0.0,3000.0,دفعه من مستخلص النجاره (محمد صبري),131,الخزينة .
1072|2022-11-21,1,5100,50.0,0.0,اكراميه بمب صب اول 44,31,التكاليف .
1072|2022-11-21,2,12101,0.0,50.0,اكراميه بمب صب اول 44,131,الخزينة .
1073|2022-08-11,1,12101,0.0,2000.0,دفعه من مستخلص النجاره (علي محمد),131,الخزينة .
1073|2022-08-11,2,22103,2000.0,0.0,دفعه من مستخلص النجاره (علي محمد),232,المقاولون .
1074|2022-08-11,1,12101,0.0,6000.0,دفعه من مستخلص النجاره (صبري عبد المعطي),131,الخزينة .
1074|2022-08-11,2,22103,6000.0,0.0,دفعه من مستخلص النجاره (صبري عبد المعطي),232,المقاولون .
1074|2022-11-21,1,12101,0.0,2000.0,سلفه للمهندس احمد توفيق من راتب شهر 11,131,الخزينة .
1074|2022-11-21,2,5100,2000.0,0.0,سلفه للمهندس احمد توفيق من راتب شهر 11,31,التكاليف .
1075|2022-08-11,1,12101,0.0,5000.0,دفعه من مستخلص النجاره (محمد جمال),131,الخزينة .
1075|2022-08-11,2,22103,5000.0,0.0,دفعه من مستخلص النجاره (محمد جمال),232,المقاولون .
1076|2022-08-11,1,12101,0.0,3000.0,دفعه من مستخلص النجاره (حماده بخيت),131,الخزينة .
1076|2022-08-11,2,22103,3000.0,0.0,دفعه من مستخلص النجاره (حماده بخيت),232,المقاولون .
1076|2022-11-21,1,12101,0.0,90.0,انبوبه غاز للمهندسين,131,الخزينة .
1076|2022-11-21,2,5100,90.0,0.0,انبوبه غاز للمهندسين,31,التكاليف .
1077|2022-08-11,1,12101,0.0,10000.0,دفعه من مستخلصحداده (عبد الرحمن),131,الخزينة .
1077|2022-08-11,2,22103,10000.0,0.0,دفعه من مستخلصحداده (عبد الرحمن),232,المقاولون .
1078|2022-08-11,1,22103,5000.0,0.0,دفعه من مستخلص الحفر (ياسين),232,المقاولون .
1078|2022-08-11,2,12101,0.0,5000.0,دفعه من مستخلص الحفر (ياسين),131,الخزينة .
1078|2022-11-21,1,12101,0.0,45.0,جالون ماء للكرافان,131,الخزينة .
1078|2022-11-21,2,5100,45.0,0.0,جالون ماء للكرافان,31,التكاليف .
1079|2022-08-11,1,12101,0.0,10000.0,دفعه من مستخلص الحلال (ياسين),131,الخزينة .
1079|2022-08-11,2,22104,10000.0,0.0,دفعه من مستخلص الحلال (ياسين),234,الموردين .
107|2024-05-22,1,12304,200000.0,0.0,سلفيه لحياه كريمه,1352,السلفيات
107|2024-05-22,2,12103,0.0,200000.0,سلفيه لحياه كريمه,132,البنوك .
1080|2022-08-11,1,22103,8000.0,0.0,دفعه من مستخلص الحداده (محمود),232,المقاولون .
1080|2022-08-11,2,12101,0.0,8000.0,دفعه من مستخلص الحداده (محمود),131,الخزينة .
1080|2022-11-21,1,12101,0.0,190.0,2بطانيه للغفر,131,الخزينة .
1080|2022-11-21,2,5100,190.0,0.0,2بطانيه للغفر,31,التكاليف .
1082|2022-08-11,1,5100,2000.0,0.0,باقي غفره العرب ( ابومالك),31,التكاليف .
1082|2022-08-11,2,12101,0.0,2000.0,باقي غفره العرب ( ابومالك),131,الخزينة .
1082|2022-11-21,1,5100,200.0,0.0,سهر استشاري صب عمود 37 وتخصم علي محطه هيمكس بسبب عدم الصب ,31,التكاليف .
1082|2022-11-21,2,12101,0.0,200.0,سهر استشاري صب عمود 37 وتخصم علي محطه هيمكس بسبب عدم الصب ,131,الخزينة .
1083|2022-08-11,1,12101,0.0,150.0,اجر دكاك يدوي ادك التربه قبل عاديه 26,131,الخزينة .
1083|2022-08-11,2,5100,150.0,0.0,اجر دكاك يدوي ادك التربه قبل عاديه 26,31,التكاليف .
1084|2022-08-11,1,12101,0.0,430.0,ماده لتزريع الاشاير واجار هيلتي ( اشاير اعمده ارضي عماره 37),131,الخزينة .
