reference_number,transaction_date,description,total_debit,total_credit,org_id
26,2023-04-30,مستخلص رقم 11,666164.73,666165.50,d5789445-11e3-4ad6-9297-b56521675114
27,2023-04-30,مستخلص رقم 11,1950762.78,1950762.00,d5789445-11e3-4ad6-9297-b56521675114
28,2022-10-03,الي ح/ النقديه (دفعه من مستخلص النجاره علي خليل),20700.00,20700.00,d5789445-11e3-4ad6-9297-b56521675114
28,2023-06-30,فروق اسعار ,3917344.00,3917344.00,d5789445-11e3-4ad6-9297-b56521675114
29,2023-06-30,فروق اسعار ,588833.82,588833.82,d5789445-11e3-4ad6-9297-b56521675114
30,2022-10-03,الي ح/ النقديه(دفعه من مستخلص النجاره صبري عبد المعطي),15000.00,15000.00,d5789445-11e3-4ad6-9297-b56521675114
30,2023-06-30,فروق اسعار ,3328505.00,3328505.00,d5789445-11e3-4ad6-9297-b56521675114
31,2023-05-30,مستخلص رقم 12,2001833.00,2001833.00,d5789445-11e3-4ad6-9297-b56521675114
32,2022-10-03,الي ح/ النقديه (دفعه من مستخلص النجاره محمد صبري),12000.00,12000.00,d5789445-11e3-4ad6-9297-b56521675114
32,2023-05-30,مستخلص رقم 12,505931.69,505931.69,d5789445-11e3-4ad6-9297-b56521675114
33,2023-05-30,مستخلص رقم 12,1495901.31,1495901.31,d5789445-11e3-4ad6-9297-b56521675114
34,2022-10-03,الي ح/ النقديه (دفعه من مستخلص النجاره منتصر),8000.00,8000.00,d5789445-11e3-4ad6-9297-b56521675114
34,2023-06-30,مستخلص رقم 13,2784707.50,2784707.50,d5789445-11e3-4ad6-9297-b56521675114
35,2023-06-30,مستخلص رقم 13,685246.84,685246.84,d5789445-11e3-4ad6-9297-b56521675114
36,2022-10-03,الي ح/ النقديه (دفعه من مستخلص النجاره محمد جمال),15000.00,15000.00,d5789445-11e3-4ad6-9297-b56521675114
36,2023-06-30,مستخلص رقم 13,2099460.66,2099460.66,d5789445-11e3-4ad6-9297-b56521675114
37,2023-07-30,مستخلص رقم 14,1358575.53,1358575.53,d5789445-11e3-4ad6-9297-b56521675114
38,2022-10-03,الي ح/ النقديه (دفعه من مستخلص الحداده محمد رمضان),10000.00,10000.00,d5789445-11e3-4ad6-9297-b56521675114
38,2023-07-30,مستخلص رقم 14,1316498.40,263224.00,d5789445-11e3-4ad6-9297-b56521675114
39,2023-07-30,مستخلص رقم 14,1431202.13,1095351.52,d5789445-11e3-4ad6-9297-b56521675114
40,2022-10-03,الي ح/ النقديه (دفعه من مستخلص الحداده محمود),10000.00,10000.00,d5789445-11e3-4ad6-9297-b56521675114
40,2023-08-30,مستخلص رقم 15,1060362.99,2439035.56,d5789445-11e3-4ad6-9297-b56521675114
41,2023-08-30,مستخلص رقم 15,2345896.86,486923.63,d5789445-11e3-4ad6-9297-b56521675114
42,2022-10-03,الي ح/ النقديه (دفعه من مستخلص الحداده عبد الرحمن),10000.00,10000.00,d5789445-11e3-4ad6-9297-b56521675114
42,2023-08-30,مستخلص رقم 15,1958259.78,1952111.93,d5789445-11e3-4ad6-9297-b56521675114
43,2023-09-30,مستخلص رقم 16,352502.29,2218568.17,d5789445-11e3-4ad6-9297-b56521675114
44,2022-10-03,الي ح/ النقديه (سياره الموقع امير 1),800.00,800.00,d5789445-11e3-4ad6-9297-b56521675114
44,2023-09-30,مستخلص رقم 16,497106.24,506613.86,d5789445-11e3-4ad6-9297-b56521675114
45,2023-09-30,مستخلص رقم 16,1711954.31,1711954.31,d5789445-11e3-4ad6-9297-b56521675114
46,2022-10-03,الي ح/ النقديه (بنزين للمولد),170.00,170.00,d5789445-11e3-4ad6-9297-b56521675114
46,2023-10-30,مستخلص رقم 17,2925688.50,2925688.50,d5789445-11e3-4ad6-9297-b56521675114
47,2023-10-30,مستخلص رقم 17,578410.81,578410.81,d5789445-11e3-4ad6-9297-b56521675114
48,2022-10-03,الي ح/ النقديه (مياه 19 لتر),35.00,35.00,d5789445-11e3-4ad6-9297-b56521675114
48,2023-10-30,مستخلص رقم 17,1217100.93,1217100.93,d5789445-11e3-4ad6-9297-b56521675114
49,2023-12-30,مستخلص رقم 19,3651945.86,3651945.86,d5789445-11e3-4ad6-9297-b56521675114
50,2022-10-03,الي ح/ النقديه (اكراميه بمب صب اعمده 29),50.00,50.00,d5789445-11e3-4ad6-9297-b56521675114
50,2023-12-30,مستخلص رقم 19,778045.78,778045.78,d5789445-11e3-4ad6-9297-b56521675114
51,2023-12-30,مستخلص رقم 19,2873900.08,2873900.08,d5789445-11e3-4ad6-9297-b56521675114
52,2022-10-03,الي ح/ النقديه (سكر وقهوه),70.00,70.00,d5789445-11e3-4ad6-9297-b56521675114
52,2024-01-30,مستخلص رقم 20,3471041.50,3471041.50,d5789445-11e3-4ad6-9297-b56521675114
53,2024-01-30,مستخلص رقم 20,743341.77,743341.77,d5789445-11e3-4ad6-9297-b56521675114
54,2022-10-03,الي ح/ النقديه (طباعه 8 لوحات a0),64.00,64.00,d5789445-11e3-4ad6-9297-b56521675114
54,2024-01-30,مستخلص رقم 20,1835790.73,1835790.73,d5789445-11e3-4ad6-9297-b56521675114
55,2024-02-28,مستخلص رقم 21,2148740.50,2148740.50,d5789445-11e3-4ad6-9297-b56521675114
56,2022-10-03,الي ح/ النقديه (دفعه من مستخلص نجاره محمد جمال),5000.00,5000.00,d5789445-11e3-4ad6-9297-b56521675114
56,2024-02-28,مستخلص رقم 21,522952.43,522952.43,d5789445-11e3-4ad6-9297-b56521675114
57,2024-02-28,مستخلص رقم 21,1564936.07,1564936.07,d5789445-11e3-4ad6-9297-b56521675114
58,2022-10-04,تعديل تقارير التربه للمره الرابعه 35.36.39.40.41.,40.00,40.00,d5789445-11e3-4ad6-9297-b56521675114
58,2024-03-30,مستخلص رقم 22,3673827.00,3673827.00,d5789445-11e3-4ad6-9297-b56521675114
59,2024-03-30,مستخلص رقم 22,864016.36,864016.36,d5789445-11e3-4ad6-9297-b56521675114
60,2022-10-04,تعديل تقارير التربه للمره الرابعه 35.36.39.40.41.,40.00,40.00,d5789445-11e3-4ad6-9297-b56521675114
60,2024-03-30,مستخلص رقم 22,2472978.14,2472978.14,d5789445-11e3-4ad6-9297-b56521675114
61,2024-01-30,تعويضات 1,17309569.79,17309569.79,d5789445-11e3-4ad6-9297-b56521675114
62,2022-10-04,تعديل تقارير التربه للمره الرابعه 35.36.39.40.41.,40.00,40.00,d5789445-11e3-4ad6-9297-b56521675114
62,2024-01-30,تعويضات 1,4424820.23,4424820.52,d5789445-11e3-4ad6-9297-b56521675114
63,2024-01-30,تعويضات 1,12884749.91,12884749.90,d5789445-11e3-4ad6-9297-b56521675114
64,2022-10-04,تعديل تقارير التربه للمره الرابعه 35.36.39.40.41.,40.00,40.00,d5789445-11e3-4ad6-9297-b56521675114
64,2024-04-30,مستخلص رقم 23,789479.44,789479.44,d5789445-11e3-4ad6-9297-b56521675114
65,2024-04-30,مستخلص رقم 23,100439.00,100439.00,d5789445-11e3-4ad6-9297-b56521675114
66,2022-10-04,تعديل تقارير التربه للمره الرابعه 35.36.39.40.41.,40.00,40.00,d5789445-11e3-4ad6-9297-b56521675114
66,2024-04-30,مستخلص رقم 23,689040.43,689040.44,d5789445-11e3-4ad6-9297-b56521675114
67,2024-05-30,مستخلص رقم 24,3900292.90,3900292.90,d5789445-11e3-4ad6-9297-b56521675114
68,2022-10-04,دفعه من حساب محمود العامل ,400.00,400.00,d5789445-11e3-4ad6-9297-b56521675114
68,2024-05-30,مستخلص رقم 24,838613.41,838613.41,d5789445-11e3-4ad6-9297-b56521675114
69,2024-05-30,مستخلص رقم 24,2085765.49,2085765.49,d5789445-11e3-4ad6-9297-b56521675114
70,2022-10-05,اكراميه سواق الحديد,50.00,50.00,d5789445-11e3-4ad6-9297-b56521675114
70,2024-07-30,مستخلص رقم 26,5090055.35,5090055.35,d5789445-11e3-4ad6-9297-b56521675114
71,2024-07-30,مستخلص رقم 26,1017945.70,1017945.70,d5789445-11e3-4ad6-9297-b56521675114
72,2022-10-05,سهره استشاري صب سقف 32 ,200.00,200.00,d5789445-11e3-4ad6-9297-b56521675114
72,2024-07-30,مستخلص رقم 26,4072109.66,4072109.65,d5789445-11e3-4ad6-9297-b56521675114
73,2024-06-30,تعويضات 2,4739253.00,4739253.00,d5789445-11e3-4ad6-9297-b56521675114
74,2022-10-06,19لتر ماء للكرافان,35.00,35.00,d5789445-11e3-4ad6-9297-b56521675114
74,2024-06-30,تعويضات 2,683961.32,683961.00,d5789445-11e3-4ad6-9297-b56521675114
75,2024-06-30,تعويضات 2,4055291.00,4055291.00,d5789445-11e3-4ad6-9297-b56521675114
76,2022-10-06,بنزين للمولد,150.00,150.00,d5789445-11e3-4ad6-9297-b56521675114
76,2024-08-30,تعويضات 3,15388832.67,15388832.67,d5789445-11e3-4ad6-9297-b56521675114
77,2024-08-30,تعويضات 3,2220826.62,2220826.62,d5789445-11e3-4ad6-9297-b56521675114
78,2022-10-06,بن وسكر وشاء للكرافان,180.00,180.00,d5789445-11e3-4ad6-9297-b56521675114
78,2024-08-30,تعويضات 3,13168006.05,13168006.05,d5789445-11e3-4ad6-9297-b56521675114
79,2024-09-30,مستخلص رقم 28,4190680.55,4190680.55,d5789445-11e3-4ad6-9297-b56521675114
80,2022-10-06,شكاره جراوت موقع عام  ,100.00,100.00,d5789445-11e3-4ad6-9297-b56521675114
80,2024-09-30,مستخلص رقم 28,1000207.63,1000207.63,d5789445-11e3-4ad6-9297-b56521675114
81,2024-09-30,مستخلص رقم 28,3190472.92,3190472.92,d5789445-11e3-4ad6-9297-b56521675114
82,2022-10-06,اكراميه سواق الحديد,100.00,100.00,d5789445-11e3-4ad6-9297-b56521675114
82,2022-12-21,سلفيات,30000.00,30000.00,d5789445-11e3-4ad6-9297-b56521675114
83,2023-01-04,رد سلفيات,30000.00,30000.00,d5789445-11e3-4ad6-9297-b56521675114
84,2022-10-06,من حساب سياره امير 1,1000.00,1000.00,d5789445-11e3-4ad6-9297-b56521675114
84,2022-12-08,سلفيات,20000.00,20000.00,d5789445-11e3-4ad6-9297-b56521675114
85,2022-12-10,سلفيات,30000.00,30000.00,d5789445-11e3-4ad6-9297-b56521675114
86,2022-10-06,من حساب الفرمجي محمد نصر ,1600.00,1600.00,d5789445-11e3-4ad6-9297-b56521675114
86,2023-01-04,رد سلفيات,50000.00,50000.00,d5789445-11e3-4ad6-9297-b56521675114
87,2023-01-19,سلفيات,300000.00,300000.00,d5789445-11e3-4ad6-9297-b56521675114
88,2022-10-06,من حساب مياه محمد فوزي ,600.00,600.00,d5789445-11e3-4ad6-9297-b56521675114
88,2023-04-01,رد سلفيات,300000.00,300000.00,d5789445-11e3-4ad6-9297-b56521675114
89,2022-05-17,سلفيات,823988.00,823988.00,d5789445-11e3-4ad6-9297-b56521675114
90,2022-10-06,ضيافه استشاري اثناء التسليم والصب خلال شهر 9 وضيافه اسرار دردير ,370.00,370.00,d5789445-11e3-4ad6-9297-b56521675114
90,2023-12-20,سلفيات,235367.00,235367.00,d5789445-11e3-4ad6-9297-b56521675114
91,2024-02-01,سلفيات,20500.00,20500.00,d5789445-11e3-4ad6-9297-b56521675114
92,2022-10-08,رد سلفيه م. منصور ,70000.00,70000.00,d5789445-11e3-4ad6-9297-b56521675114
92,2024-05-22,سلفيات,37256.00,37256.00,d5789445-11e3-4ad6-9297-b56521675114
93,2025-03-17,سلفيات,367805.00,367805.00,d5789445-11e3-4ad6-9297-b56521675114
94,2022-10-08,من حساب محمود العامل ,800.00,800.00,d5789445-11e3-4ad6-9297-b56521675114
94,2025-04-14,سلفيات,50000.00,50000.00,d5789445-11e3-4ad6-9297-b56521675114
95,2024-11-17,رد سلفيات,1065623.00,1065623.00,d5789445-11e3-4ad6-9297-b56521675114
96,2022-09-19,سلفيات,4555.00,4555.00,d5789445-11e3-4ad6-9297-b56521675114
96,2022-10-08,من ح/ سياره الاستشاري عن شهر 9,6000.00,6000.00,d5789445-11e3-4ad6-9297-b56521675114
97,2022-09-22,رد سلفيات,4555.00,4555.00,d5789445-11e3-4ad6-9297-b56521675114
98,2022-10-08,2 نسخه مفتاح للكرافان ,20.00,20.00,d5789445-11e3-4ad6-9297-b56521675114
98,2023-01-04,سلفيات,60000.00,60000.00,d5789445-11e3-4ad6-9297-b56521675114
99,2023-01-19,سلفيات,192000.00,192000.00,d5789445-11e3-4ad6-9297-b56521675114
100,2022-10-08,من حساب رواتب شهر 9,36690.00,36690.00,d5789445-11e3-4ad6-9297-b56521675114
100,2023-01-19,سلفيات,95000.00,95000.00,d5789445-11e3-4ad6-9297-b56521675114
101,2023-01-29,سلفيات,266200.00,266200.00,d5789445-11e3-4ad6-9297-b56521675114
102,2022-10-08,سهره استشاري صب سقف 27.وعمود اول 24. + اكراميه البمب,175.00,175.00,d5789445-11e3-4ad6-9297-b56521675114
102,2023-02-08,سلفيات,317000.00,317000.00,d5789445-11e3-4ad6-9297-b56521675114
103,2022-12-25,رد سلفيات,60000.00,60000.00,d5789445-11e3-4ad6-9297-b56521675114
104,2022-10-08,سهره استشاري صب سقف 27.وعمود اول 24. + اكراميه البمب,175.00,175.00,d5789445-11e3-4ad6-9297-b56521675114
104,2023-02-12,رد سلفيات,870200.00,870200.00,d5789445-11e3-4ad6-9297-b56521675114
105,2022-12-14,سلفيه لحياه كريمه,400000.00,400000.00,d5789445-11e3-4ad6-9297-b56521675114
106,2022-10-08,بنزين ,170.00,170.00,d5789445-11e3-4ad6-9297-b56521675114
106,2024-01-11,رد سلفيه من حياه كريمه,400000.00,400000.00,d5789445-11e3-4ad6-9297-b56521675114
107,2024-05-22,سلفيه لحياه كريمه,200000.00,200000.00,d5789445-11e3-4ad6-9297-b56521675114
108,2022-10-08,حساب العامل محمود,800.00,800.00,d5789445-11e3-4ad6-9297-b56521675114
108,2024-05-27,رد سلفيه من حياه كريمه,200000.00,200000.00,d5789445-11e3-4ad6-9297-b56521675114
109,2024-05-30,سلفيه لحياه كريمه,159000.00,159000.00,d5789445-11e3-4ad6-9297-b56521675114
110,2022-10-08,حساب اسكنر لوحات a0  8لوحات ,60.00,60.00,d5789445-11e3-4ad6-9297-b56521675114
110,2024-07-14,رد سلفيه من حياه كريمه,159000.00,159000.00,d5789445-11e3-4ad6-9297-b56521675114
111,2024-07-25,سلفيات,105000.00,105000.00,d5789445-11e3-4ad6-9297-b56521675114
112,2022-10-10,ضيافه المهندس محمد مشرف,375.00,375.00,d5789445-11e3-4ad6-9297-b56521675114
112,2024-10-10,رد سلفيات,105000.00,105000.00,d5789445-11e3-4ad6-9297-b56521675114
113,2024-10-17,سلفيه لحياه كريمه,201000.00,201000.00,d5789445-11e3-4ad6-9297-b56521675114
114,2022-10-10,بنزين للمولد,160.00,160.00,d5789445-11e3-4ad6-9297-b56521675114
114,2024-10-23,سلفيه لحياه كريمه,399000.00,399000.00,d5789445-11e3-4ad6-9297-b56521675114
115,2024-10-23,سلفيه لحياه كريمه,161000.00,161000.00,d5789445-11e3-4ad6-9297-b56521675114
116,2022-10-10,ماء للكرافان,35.00,35.00,d5789445-11e3-4ad6-9297-b56521675114
116,2024-10-28,سلفيه لحياه كريمه,218000.00,218000.00,d5789445-11e3-4ad6-9297-b56521675114
117,2024-10-30,سلفيه لحياه كريمه,555000.00,555000.00,d5789445-11e3-4ad6-9297-b56521675114
118,2022-10-10,30شكاره بسكوت ( مخزن),1050.00,1050.00,d5789445-11e3-4ad6-9297-b56521675114
118,2024-12-12,سلفيه لحياه كريمه,200000.00,200000.00,d5789445-11e3-4ad6-9297-b56521675114
119,2024-12-12,رد سلفيه من حياه كريمه,201000.00,201000.00,d5789445-11e3-4ad6-9297-b56521675114
120,2022-10-10,عجله البراويطه ,220.00,220.00,d5789445-11e3-4ad6-9297-b56521675114
120,2024-12-18,رد سلفيه من حياه كريمه,1133000.00,1133000.00,d5789445-11e3-4ad6-9297-b56521675114
121,2024-12-18,رد سلفيه من حياه كريمه,200000.00,200000.00,d5789445-11e3-4ad6-9297-b56521675114
122,2022-10-10,طباعه لوحات a0,45.00,45.00,d5789445-11e3-4ad6-9297-b56521675114
122,2025-01-18,رد سلفيه من حياه كريمه,100000.00,100000.00,d5789445-11e3-4ad6-9297-b56521675114
123,2025-02-08,رد سلفيه من حياه كريمه,100000.00,100000.00,d5789445-11e3-4ad6-9297-b56521675114
124,2022-10-10,من حساب شركه عز لتوريدات الكهرباء,20000.00,20000.00,d5789445-11e3-4ad6-9297-b56521675114
124,2025-05-10,سلفيات,1000000.00,1000000.00,d5789445-11e3-4ad6-9297-b56521675114
125,2025-05-10,سلفيات,688000.00,688000.00,d5789445-11e3-4ad6-9297-b56521675114
126,2022-10-10,اجر سياره لختم لوحات من مكتب استشاري بكفر الشيخ,600.00,600.00,d5789445-11e3-4ad6-9297-b56521675114
126,2025-05-12,سلفيات,250000.00,250000.00,d5789445-11e3-4ad6-9297-b56521675114
127,2025-05-15,سلفيات,660000.00,660000.00,d5789445-11e3-4ad6-9297-b56521675114
128,2022-10-10,باقي رواتب شهر 9,15714.00,15714.00,d5789445-11e3-4ad6-9297-b56521675114
128,2025-05-17,سلفيات,1400000.00,1400000.00,d5789445-11e3-4ad6-9297-b56521675114
130,2022-10-10,دفعه من مستخلص نجاره علي محمد,40000.00,40000.00,d5789445-11e3-4ad6-9297-b56521675114
130,2025-06-04,رد سلفيات,104000.00,104000.00,d5789445-11e3-4ad6-9297-b56521675114
132,2022-10-10,دفعه من مستخلص نجاره ابراهيم ,15000.00,15000.00,d5789445-11e3-4ad6-9297-b56521675114
132,2024-06-25,سلفيات,570000.00,570000.00,d5789445-11e3-4ad6-9297-b56521675114
134,2022-10-10,دفعه من مستخلص الحداده محمد رمضان,15000.00,15000.00,d5789445-11e3-4ad6-9297-b56521675114
136,2022-10-10,دفعه من مستخلص النجاره منتصر,7000.00,7000.00,d5789445-11e3-4ad6-9297-b56521675114
138,2022-10-10,دفعه من مستخلص النجاره صبري عبد المعطي,7000.00,7000.00,d5789445-11e3-4ad6-9297-b56521675114
140,2022-10-10,دفعه من مستخلص نجاره محمدمحمد شحاته,20000.00,20000.00,d5789445-11e3-4ad6-9297-b56521675114
142,2022-10-10,اجر اربع ايام عماله لم خرده من الموقع وعمل سباكه الحمامات,400.00,400.00,d5789445-11e3-4ad6-9297-b56521675114
142,2023-01-19,سلفيات,500000.00,500000.00,d5789445-11e3-4ad6-9297-b56521675114
143,2023-01-23,سلفيات,353000.00,353000.00,d5789445-11e3-4ad6-9297-b56521675114
144,2022-10-10,دفعه من سياره الموقع امير 2,850.00,850.00,d5789445-11e3-4ad6-9297-b56521675114
144,2023-01-26,سلفيات,198000.00,198000.00,d5789445-11e3-4ad6-9297-b56521675114
145,2023-01-28,سلفيات,1917100.00,1917100.00,d5789445-11e3-4ad6-9297-b56521675114
146,2022-10-10,دفعه من مستخلص العزل  علي ,2000.00,2000.00,d5789445-11e3-4ad6-9297-b56521675114
146,2023-01-02,رد سلفيات,4000000.00,4000000.00,d5789445-11e3-4ad6-9297-b56521675114
147,2023-02-06,رد سلفيات,320000.00,320000.00,d5789445-11e3-4ad6-9297-b56521675114
148,2022-10-10,اكراميه سكرتر رئيس الجهاز ,100.00,100.00,d5789445-11e3-4ad6-9297-b56521675114
148,2023-02-08,رد سلفيات,115000.00,115000.00,d5789445-11e3-4ad6-9297-b56521675114
149,2023-02-12,رد سلفيات,2533100.00,2533100.00,d5789445-11e3-4ad6-9297-b56521675114
150,2022-10-10,دفعه من حساب سياره الموقع 1,2100.00,2100.00,d5789445-11e3-4ad6-9297-b56521675114
150,2023-03-09,سلفيات,950000.00,950000.00,d5789445-11e3-4ad6-9297-b56521675114
151,2023-03-25,رد سلفيات,950000.00,950000.00,d5789445-11e3-4ad6-9297-b56521675114
152,2022-10-11,دفعه من مستخلص نجاره محمد محمد شحاته,5000.00,5000.00,d5789445-11e3-4ad6-9297-b56521675114
152,2023-06-05,سلفيات,51000.00,51000.00,d5789445-11e3-4ad6-9297-b56521675114
153,2023-06-20,سلفيات,850000.00,850000.00,d5789445-11e3-4ad6-9297-b56521675114
154,2022-10-11,دفعه من مستخلص النجاره  محمد جمال,4000.00,4000.00,d5789445-11e3-4ad6-9297-b56521675114
154,2023-07-09,رد سلفيات,2000000.00,2000000.00,d5789445-11e3-4ad6-9297-b56521675114
155,2025-07-13,رد سلفيات,901000.00,901000.00,d5789445-11e3-4ad6-9297-b56521675114
156,2022-10-11,دفعه من مستخلص نجاره مستخلص حداده محمود خيري ,1000.00,1000.00,d5789445-11e3-4ad6-9297-b56521675114
156,2023-08-03,سلفيات,100000.00,100000.00,d5789445-11e3-4ad6-9297-b56521675114
157,2023-09-06,سلفيات,300000.00,300000.00,d5789445-11e3-4ad6-9297-b56521675114
158,2022-10-11,شراء بوجو لمولد الكهرباء +2انبوبه لحام حديد + نقل المولد  ,120.00,120.00,d5789445-11e3-4ad6-9297-b56521675114
158,2023-09-11,سلفيات,250000.00,250000.00,d5789445-11e3-4ad6-9297-b56521675114
159,2023-09-14,سلفيات,790000.00,790000.00,d5789445-11e3-4ad6-9297-b56521675114
160,2022-10-12,من حساب سياره امير ,100.00,100.00,d5789445-11e3-4ad6-9297-b56521675114
160,2023-09-21,سلفيات,459000.00,459000.00,d5789445-11e3-4ad6-9297-b56521675114
161,2023-09-27,سلفيات,50000.00,50000.00,d5789445-11e3-4ad6-9297-b56521675114
162,2022-10-12,اكراميه بمب صب اعمده ثالث 43,100.00,100.00,d5789445-11e3-4ad6-9297-b56521675114
162,2023-09-28,سلفيات,324800.00,324800.00,d5789445-11e3-4ad6-9297-b56521675114
163,2023-09-30,سلفيات,20000.00,20000.00,d5789445-11e3-4ad6-9297-b56521675114
164,2022-10-12,انبوبه غاز للمهندسيين,85.00,85.00,d5789445-11e3-4ad6-9297-b56521675114
164,2023-10-02,سلفيات,600000.00,600000.00,d5789445-11e3-4ad6-9297-b56521675114
165,2023-10-12,سلفيات,315000.00,315000.00,d5789445-11e3-4ad6-9297-b56521675114
166,2022-10-13,بنزين للمولد,150.00,150.00,d5789445-11e3-4ad6-9297-b56521675114
166,2023-10-25,سلفيات,400000.00,400000.00,d5789445-11e3-4ad6-9297-b56521675114
167,2023-11-09,سلفيات,100000.00,100000.00,d5789445-11e3-4ad6-9297-b56521675114
168,2022-10-13, 2متر خرطوم لسحب بنزين من السياره + شاي,26.00,26.00,d5789445-11e3-4ad6-9297-b56521675114
168,2024-02-12,سلفيات,200000.00,200000.00,d5789445-11e3-4ad6-9297-b56521675114
169,2024-02-13,سلفيات,800000.00,800000.00,d5789445-11e3-4ad6-9297-b56521675114
170,2022-10-13,باقي رواتب شهر 9,11000.00,11000.00,d5789445-11e3-4ad6-9297-b56521675114
170,2024-02-22,سلفيات,455000.00,455000.00,d5789445-11e3-4ad6-9297-b56521675114
171,2024-02-25,سلفيات,145000.00,145000.00,d5789445-11e3-4ad6-9297-b56521675114
172,2022-10-13,سهره استشاري تسليم نجاره سقف ارضي 30وحداده اعمده ارضي 44.,100.00,100.00,d5789445-11e3-4ad6-9297-b56521675114
172,2024-02-29,سلفيات,190000.00,190000.00,d5789445-11e3-4ad6-9297-b56521675114
173,2024-03-03,سلفيات,245000.00,245000.00,d5789445-11e3-4ad6-9297-b56521675114
174,2022-10-13,سهره استشاري تسليم نجاره سقف ارضي 30وحداده اعمده ارضي 44.,100.00,100.00,d5789445-11e3-4ad6-9297-b56521675114
174,2024-03-07,سلفيات,650000.00,650000.00,d5789445-11e3-4ad6-9297-b56521675114
175,2024-03-10,سلفيات,150000.00,150000.00,d5789445-11e3-4ad6-9297-b56521675114
176,2022-10-13,من حساب الفرمجي محمد نصر ,2000.00,2000.00,d5789445-11e3-4ad6-9297-b56521675114
